Thema # Vers # Translation # Res1 # Res2 # Text
faith#Rom 4:5#YLT#null#null#and to him who is not working, and is believing upon Him who  is declaring righteous the impious, his faith is reckoned -- to  righteousness:
faith#Joh 3:16#KJV#null#null#For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.
faith# Heb 11:1 # KJV # https://dailyverses.net/de/suche/Glaube/elb  #  taken from       #Now faith is the substance of things hoped for, the evidence of things not seen.
salvation#John 6:39#KJV#null#null#And this is the Father's will which hath sent me, that of all which he hath given me I should lose nothing, but should raise it up again at the last day.
 faith#Acts 16:31#KJV#    #          #And they said, Believe on the Lord Jesus Christ, and thou shalt be saved, and thy house.
 faith#1 John 5:4#KJV#         #    u      #For whatsoever is born of God overcometh the world: and this is the victory that overcometh the world, even our faith.
 faith#Galatians 5:6#KJV#  #  #For in Jesus Christ neither circumcision availeth any thing, nor uncircumcision; but faith which worketh by love.
 faith#Romans 10:4#KJV#   #   #For Christ is the end of the law for righteousness to every one that believeth.
 faith#Galatians 3:22#KJV#   #   #But the scripture hath concluded all under sin, that the promise by faith of Jesus Christ might be given to them that believe.
 faith#Romans 1:17#KJV#   #   #For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith.
 faith#Hebrews 11:1#KJV#   #   #Now faith is the substance of things hoped for, the evidence of things not seen.
 faith#Acts 16:31#KJV#   #   #And they said, Believe on the Lord Jesus Christ, and thou shalt be saved, and thy house.
 faith#2 Cor 5:7#KJV#   #   # For we walk by faith, not by sight:
 faith#1 Tim 6:12#KJV#   #   #Fight the good fight of faith, lay hold on eternal life, whereunto thou art also called, and hast professed a good profession before many witnesses.
 faith#Heb 11:6#KJV#   #   #But without faith it is impossible to please him: for he that cometh to God must believe that he is, and that he is a rewarder of them that diligently seek him.
 faith#Acts 13:38-39#KJV#   #   #Be it known unto you therefore, men and brethren, that through this man is preached unto you the forgiveness of sins:And by him all that believe are justified from all things, from which ye could not be justified by the law of Moses.
 faith#Heb 12:2#KJV#   #   # ()  Looking unto Jesus the author and finisher of our faith; who for the joy that was set before him endured the cross, despising the shame, and is set down at the right hand of the throne of God.
 faith#Gal 2:20#KJV#   #   #I am crucified with Christ: nevertheless I live; yet not I, but Christ liveth in me: and the life which I now live in the flesh I live by the faith of the Son of God, who loved me, and gave himself for me.
 faith#1 Peter 1:8-9#KJV#   #   #Whom having not seen, ye love; in whom, though now ye see him not, yet believing, ye rejoice with joy unspeakable and full of glory: Receiving the end of your faith, even the salvation of your souls.
Joy#Psalms 16:11#KJV#null#null#Thou wilt shew me the path of life: in thy presence is fullness of joy; at thy right hand there are pleasures for evermore.
 faith#Rom 3:21-22#KJV#   #   #But now the righteousness of God without the law is manifested, being witnessed by the law and the prophets; Even the righteousness of God which is by faith of Jesus Christ unto all and upon all them that believe: for there is no difference:
 faith#John 1:12#KJV#   #   #But as many as received him, to them gave he power to become the sons of God, even to them that believe on his name:
salvation #Acts 4:12#KJV#null#null#Neither is there salvation in any other: for there is none other name under heaven given among men, whereby we must be saved.
 faith#Rom 5:1#KJV#   #   #Therefore being justified by faith, we have peace with God through our Lord Jesus Christ:
 faith#Eph 2:8-9#KJV#   #   #For by grace are ye saved through faith; and that not of yourselves: it is the gift of God: Not of works, lest any man should boast.
 faith#Gal 3:26#KJV#   #   #For ye are all the children of God by faith in Christ Jesus.
 faith#Eph 3:16-17#KJV#   #   #That he would grant you, according to the riches of his glory, to be strengthened with might by his Spirit in the inner man; That Christ may dwell in your hearts by faith; that ye, being rooted and grounded in love,
